"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"220UF1","1","C_Polarized","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C1,C2,C3,C4,C5","5","C_Small","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","LED","","","","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","~"
"H1,H2,H3,H4,H5,H6,H7","7","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","GRID","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","~"
"J4","1","USB_ASP","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J5","1","BUTTONS","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","~"
"J6","1","JOYSTICK","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"J7","1","UART_TERM","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J8","1","PCF_SCREEN","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"J9","1","GROUND","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"J10","1","VCC","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm","~"
"J11","1","PJ-102A","","","","Connector_BarrelJack:BarrelJack_Horizontal","https://www.cui.com/product/resource/digikeypdf/pj-102a.pdf"
"R1,R2,R3,R4,R5,R6,R7,R13","8","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","11","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","ATmega168A-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega48A_88A_168A-Data-Sheet-40002007A.pdf"
"Y1","1","Crystal","","","","Crystal:Resonator-2Pin_W6.0mm_H3.0mm","~"
